"bug.id","temp.avg","temp.var","treatment","mass.3","mass.4","mass.5","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","ttecl","ttem.w","ps.em","ps.ecl","tt3","tt4","tt5","ttwand","ttem.h","diet","ttend","mass.end","died","died.bf5","date.cull.j","mass.cull","left_out","ttcull","mongo","end.class","expt","keep"
"28.0_c_6",28,0,"control",40.61,162.24,6160.3,9772.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,72,74,80,82,NA,0,NA,NA,NA,NA,NA,5,7,13,15,NA,"col",15,9772.58,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_16",28,0,"control",43.64,327.12,2615.15,10929.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,72,75,78,82,NA,0,NA,NA,NA,NA,NA,5,8,11,15,NA,"col",15,10929.36,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_21",28,0,"control",55.33,184.78,4805.1,9226.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,72,74,80,82,NA,0,NA,NA,NA,NA,NA,5,7,13,15,NA,"col",15,9226.09,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_31",28,0,"control",58.16,223.03,3284.45,8317.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,76,80,83,NA,0,NA,NA,NA,NA,NA,6,9,13,16,NA,"col",16,8317.57,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_32",28,0,"control",66.23,215.3,2354.8,9444.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,76,80,84,NA,0,NA,NA,NA,NA,NA,6,9,13,17,NA,"col",17,9444.83,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_33",28,0,"control",65.13,196.81,1954.38,9552.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,75,79,83,NA,0,NA,NA,NA,NA,NA,6,8,12,16,NA,"col",16,9552.97,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_34",28,0,"control",59.64,309.65,2115.4,7709.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,76,80,85,NA,0,NA,NA,NA,NA,NA,6,9,13,18,NA,"col",18,7709.42,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_35",28,0,"control",83.62,211.24,2725.5,9170.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,75,79,82,NA,0,NA,NA,NA,NA,NA,6,8,12,15,NA,"col",15,9170.81,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_36",28,0,"control",59.59,250.32,1900.23,8202.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,76,79,83,NA,0,NA,NA,NA,NA,NA,6,9,12,16,NA,"col",16,8202.33,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_38",28,0,"control",63.31,253.45,3247.54,10148.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,75,79,82,NA,0,NA,NA,NA,NA,NA,6,8,12,15,NA,"col",15,10148.42,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_40",28,0,"control",57.24,166.75,1603.86,9857.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,75,79,83,NA,0,NA,NA,NA,NA,NA,6,8,12,16,NA,"col",16,9857.74,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_41",28,0,"control",91.18,177.29,3084.68,9430.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,75,79,83,NA,0,NA,NA,NA,NA,NA,6,8,12,16,NA,"col",16,9430.79,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_43",28,0,"control",58.31,143.52,1229.11,6953.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,75,79,83,NA,0,NA,NA,NA,NA,NA,6,8,12,16,NA,"col",16,6953.82,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_45",28,0,"control",63.21,170.35,3063.38,7884.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,76,80,83,NA,0,NA,NA,NA,NA,NA,6,9,13,16,NA,"col",16,7884.55,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_46",28,0,"control",65.36,585.02,NA,10232.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,73,76,0,82,NA,0,NA,NA,NA,NA,NA,6,9,NA,15,NA,"col",15,10232.71,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_47",28,0,"control",183.03,223.11,2444.34,8689.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,74,75,79,82,NA,0,NA,NA,NA,NA,NA,7,8,12,15,NA,"col",15,8689.15,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_69",28,0,"control",257.44,261.57,3380.12,10633.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,74,75,79,82,NA,0,NA,NA,NA,NA,NA,7,8,12,15,NA,"col",15,10633.28,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_72",28,0,"control",52.58,198.78,2807.09,7045.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,83,85,89,93,NA,0,NA,NA,NA,NA,NA,5,7,11,15,NA,"col",15,7045.39,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_73",28,0,"control",55.33,234.96,2781.99,6584.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,83,85,89,93,NA,0,NA,NA,NA,NA,NA,5,7,11,15,NA,"col",15,6584.77,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_77",28,0,"control",35.33,200.35,1945.63,6118.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,87,91,96,NA,0,NA,NA,NA,NA,NA,6,9,13,18,NA,"col",18,6118.4,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_82",28,0,"control",99.03,359.19,2390.94,6328.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,86,89,93,NA,0,NA,NA,NA,NA,NA,6,8,11,15,NA,"col",15,6328.64,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_83",28,0,"control",122.09,413.54,2369.69,4652.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,86,89,96,NA,0,NA,NA,NA,NA,NA,6,8,11,18,NA,"col",18,4652.9,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_84",28,0,"control",77.74,204.83,1547.65,4974.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,86,90,96,NA,0,NA,NA,NA,NA,NA,6,8,12,18,NA,"col",18,4974.2,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_85",28,0,"control",63.29,257.28,2314.98,6830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,86,90,96,NA,0,NA,NA,NA,NA,NA,6,8,12,18,NA,"col",18,6830,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_86",28,0,"control",82.44,331.23,1608.79,7981.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,86,89,96,NA,0,NA,NA,NA,NA,NA,6,8,11,18,NA,"col",18,7981.7,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_87",28,0,"control",84.01,308.79,1799.6,6548.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,86,89,94,NA,0,NA,NA,NA,NA,NA,6,8,11,16,NA,"col",16,6548.89,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_88",28,0,"control",91.19,363.17,2757.88,10475.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,114,118,NA,0,NA,NA,NA,NA,NA,5,7,10,14,NA,"col",14,10475.72,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_89",28,0,"control",82.32,290.63,2344.12,9244.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,114,117,NA,0,NA,NA,NA,NA,NA,5,7,10,13,NA,"col",13,9244.37,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_90",28,0,"control",110.03,288.25,3093.15,9580.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,118,NA,0,NA,NA,NA,NA,NA,5,7,11,14,NA,"col",14,9580.79,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_91",28,0,"control",80.47,275.9,3005.64,11755.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,119,NA,0,NA,NA,NA,NA,NA,5,7,11,15,NA,"col",15,11755.59,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.0_c_92",28,0,"control",79.58,260.36,3338.87,10232.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,118,NA,0,NA,NA,NA,NA,NA,5,7,11,14,NA,"col",14,10232.66,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_15",28,10,"control",43.5,305,915.83,5863.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,0,79,83,88,95,NA,0,NA,NA,NA,NA,NA,6,10,15,22,NA,"col",22,5863.89,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_18",28,10,"control",82.03,309.18,868.23,5882.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,87,91,99,NA,0,NA,NA,NA,NA,NA,6,9,13,21,NA,"col",21,5882.13,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_19",28,10,"control",113.98,173.1,1477.12,8189.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,86,91,97,NA,0,NA,NA,NA,NA,NA,6,8,13,19,NA,"col",19,8189.69,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_20",28,10,"control",74.32,217.01,998.59,6192.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,84,87,91,96,NA,0,NA,NA,NA,NA,NA,6,9,13,18,NA,"col",18,6192.1,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_22",28,10,"control",77.88,220.92,1084.93,6553.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,85,88,92,98,NA,0,NA,NA,NA,NA,NA,7,10,14,20,NA,"col",20,6553.23,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_23",28,10,"control",56.75,187.25,1259.62,8591.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,85,88,97,102,NA,0,NA,NA,NA,NA,NA,7,10,19,24,NA,"col",24,8591.47,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_25",28,10,"control",37.76,349.14,1003.49,7568.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0,94,98,101,106,NA,0,NA,NA,NA,NA,NA,6,10,13,18,NA,"col",18,7568.71,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_26",28,10,"control",94.01,689.6,1143.33,9506.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0,95,98,101,106,NA,0,NA,NA,NA,NA,NA,7,10,13,18,NA,"col",18,9506.4,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_29",28,10,"control",128.16,147.86,817.96,5170.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,0,80,83,92,99,NA,0,NA,NA,NA,NA,NA,7,10,19,26,NA,"col",26,5170.47,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_35",28,10,"control",35.46,264.61,1026.77,6799.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,0,80,91,95,102,NA,0,NA,NA,NA,NA,NA,7,18,22,29,NA,"col",29,6799.43,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_39",28,10,"control",28.22,400.89,1085.04,7868.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,0,98,102,106,112,NA,0,NA,NA,NA,NA,NA,4,8,12,18,NA,"col",18,7868.77,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_40",28,10,"control",23.54,270.61,591.97,6545.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,0,98,102,106,112,NA,0,NA,NA,NA,NA,NA,4,8,12,18,NA,"col",18,6545.47,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_52",28,10,"control",182.57,174.96,1309.71,8694.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,0,105,106,110,115,NA,0,NA,NA,NA,NA,NA,6,7,11,16,NA,"col",16,8694.71,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_56",28,10,"control",92.42,319.05,1193.78,8532.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,0,105,108,111,117,NA,0,NA,NA,NA,NA,NA,6,9,12,18,NA,"col",18,8532.07,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_63",28,10,"control",94.66,217.96,1551.46,7047.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,122,NA,0,NA,NA,NA,NA,NA,5,7,11,18,NA,"col",18,7047.88,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_64",28,10,"control",101.48,158.49,931.62,7005.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,121,NA,0,NA,NA,NA,NA,NA,5,7,11,17,NA,"col",17,7005.66,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_65",28,10,"control",153.65,332.42,1790.09,9689.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,120,NA,0,NA,NA,NA,NA,NA,5,7,11,16,NA,"col",16,9689.73,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_66",28,10,"control",87.21,197.32,1077.43,7872.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,120,NA,0,NA,NA,NA,NA,NA,5,7,11,16,NA,"col",16,7872.19,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_67",28,10,"control",114.21,256.34,1424.28,7635.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,121,NA,0,NA,NA,NA,NA,NA,5,7,11,17,NA,"col",17,7635.83,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_68",28,10,"control",81.06,183.43,1448.53,8780.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,121,NA,0,NA,NA,NA,NA,NA,5,7,11,17,NA,"col",17,8780.27,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_69",28,10,"control",77.32,171.49,1525.79,4387.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,116,131,NA,0,NA,NA,NA,NA,NA,5,7,12,27,NA,"col",27,4387.53,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_70",28,10,"control",120.18,236.85,1064.3,8148.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,120,NA,0,NA,NA,NA,NA,NA,5,7,11,16,NA,"col",16,8148.7,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_71",28,10,"control",109.07,221.06,1664.21,10166.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,121,NA,0,NA,NA,NA,NA,NA,5,7,11,17,NA,"col",17,10166.67,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_72",28,10,"control",82.56,223.3,1315.41,6776.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,111,115,121,NA,0,NA,NA,NA,NA,NA,5,7,11,17,NA,"col",17,6776.14,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_77",28,10,"control",80.55,368.61,1770.77,7160.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,112,116,123,NA,0,NA,NA,NA,NA,NA,5,8,12,19,NA,"col",19,7160.73,0,0,NA,NA,NA,NA,0,"wand","orig",1
"28.10_c_78",28,10,"control",72.7,379.96,1398,7523.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,0,109,112,115,120,NA,0,NA,NA,NA,NA,NA,5,8,11,16,NA,"col",16,7523.83,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_1",25,0,"control",51.95,276.05,1758.59,10025.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,157,160,164,169,NA,0,NA,NA,NA,NA,NA,4,7,11,16,NA,"col",16,10025.17,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_2",25,0,"control",51.09,416.44,2958.83,10221.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,157,160,164,168,NA,0,NA,NA,NA,NA,NA,4,7,11,15,NA,"col",15,10221.5,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_3",25,0,"control",30.76,215.95,1714.33,10803.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,162,166,171,NA,0,NA,NA,NA,NA,NA,5,9,13,18,NA,"col",18,10803.67,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_4",25,0,"control",64.01,220.7,1758.21,10257.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,162,166,170,NA,0,NA,NA,NA,NA,NA,5,9,13,17,NA,"col",17,10257.21,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_5",25,0,"control",45.53,187.19,1318.81,9484.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,162,166,171,NA,0,NA,NA,NA,NA,NA,5,9,13,18,NA,"col",18,9484.67,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_6",25,0,"control",59.8,253.57,2484.48,12858.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,161,165,169,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,12858.08,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_7",25,0,"control",49.79,292.19,2707.97,11114.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,161,165,169,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,11114.24,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_8",25,0,"control",83.61,480.03,1812.22,10309.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,161,164,169,NA,0,NA,NA,NA,NA,NA,5,8,11,16,NA,"col",16,10309.45,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_9",25,0,"control",56.76,425.18,2729.26,10720.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,161,165,169,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,10720.15,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_10",25,0,"control",77.4,509.87,1945.77,11171.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,161,164,168,NA,0,NA,NA,NA,NA,NA,5,8,11,15,NA,"col",15,11171.53,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_11",25,0,"control",46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,161,158,NA,0,0,NA,0,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"col",8,NA,1,1,NA,NA,NA,NA,0,"dead","orig",0
"25.0_c_12",25,0,"control",89.02,416.85,2199.11,10922.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,158,161,165,169,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,10922.71,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_13",25,0,"control",48.34,298.07,2806.96,11240.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,0,158,161,165,169,NA,0,NA,NA,NA,NA,NA,6,9,13,17,NA,"col",17,11240.25,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_14",25,0,"control",55.58,266.5,2930.61,12015.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,159,162,166,170,NA,0,NA,NA,NA,NA,NA,6,9,13,17,NA,"col",17,12015.1,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_15",25,0,"control",53.06,603.02,1892.56,11161.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,159,164,167,171,NA,0,NA,NA,NA,NA,NA,6,11,14,18,NA,"col",18,11161.43,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_16",25,0,"control",75.96,305.71,2517.37,10825.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,159,162,166,170,NA,0,NA,NA,NA,NA,NA,6,9,13,17,NA,"col",17,10825.62,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_17",25,0,"control",30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,161,159,NA,0,0,NA,0,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,"col",8,NA,1,1,NA,NA,NA,NA,0,"dead","orig",0
"25.0_c_18",25,0,"control",52.35,741.61,1161.1,8545.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,159,164,167,172,NA,0,NA,NA,NA,NA,NA,6,11,14,19,NA,"col",19,8545.22,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_19",25,0,"control",43.42,212.59,1679.11,10618.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,159,164,168,173,NA,0,NA,NA,NA,NA,NA,5,10,14,19,NA,"col",19,10618.34,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_20",25,0,"control",55.58,367.92,1798.02,9994.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,159,162,165,169,NA,0,NA,NA,NA,NA,NA,5,8,11,15,NA,"col",15,9994.78,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_21",25,0,"control",69.54,346.41,2054.92,10805.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,159,162,166,170,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,10805.86,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_22",25,0,"control",47.41,182.33,1697.31,11081.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,159,162,166,170,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,11081.77,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_23",25,0,"control",77.65,308.28,2207.51,9845.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,159,162,166,170,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,9845.56,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_24",25,0,"control",33.37,315.11,2889.55,13378.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,159,163,167,171,NA,0,NA,NA,NA,NA,NA,5,9,13,17,NA,"col",17,13378.54,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_25",25,0,"control",74.47,365.29,2210.19,11594.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,159,163,167,172,NA,0,NA,NA,NA,NA,NA,6,10,14,19,NA,"col",19,11594.43,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_26",25,0,"control",24.71,53.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,168,159,164,0,0,NA,0,NA,NA,NA,NA,NA,6,11,NA,NA,NA,"col",15,NA,1,1,NA,NA,NA,NA,0,"dead","orig",0
"25.0_c_27",25,0,"control",52.64,319.19,1518.17,11681.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,159,163,167,172,NA,0,NA,NA,NA,NA,NA,6,10,14,19,NA,"col",19,11681.52,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_28",25,0,"control",67.98,238.46,1709.19,10711.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,160,162,167,171,NA,0,NA,NA,NA,NA,NA,6,8,13,17,NA,"col",17,10711.63,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_29",25,0,"control",40.2,267.95,2608.1,12331.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,166,170,174,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,12331.63,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_30",25,0,"control",65.75,430.28,2903.73,10966.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,166,170,173,NA,0,NA,NA,NA,NA,NA,5,8,12,15,NA,"col",15,10966.82,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_31",25,0,"control",67.14,303.72,2108.95,10360.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,168,172,176,NA,0,NA,NA,NA,NA,NA,5,10,14,18,NA,"col",18,10360.05,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_32",25,0,"control",58.64,540.76,2492.98,12902.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,167,170,174,NA,0,NA,NA,NA,NA,NA,5,9,12,16,NA,"col",16,12902.61,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_33",25,0,"control",67.15,474.51,2376.12,10534.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,166,169,173,NA,0,NA,NA,NA,NA,NA,5,8,11,15,NA,"col",15,10534.4,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_34",25,0,"control",49.4,216.93,1981.7,11838.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,166,170,174,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,11838.88,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_35",25,0,"control",52.61,309.68,2681.53,10897.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,166,170,174,NA,0,NA,NA,NA,NA,NA,5,8,12,16,NA,"col",16,10897.76,0,0,NA,NA,NA,NA,0,"wand","orig",1
"25.0_c_36",25,0,"control",67.85,464.89,2145.46,10076.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,163,166,169,173,NA,0,NA,NA,NA,NA,NA,5,8,11,15,NA,"col",15,10076.23,0,0,NA,NA,NA,NA,0,"wand","orig",1
